number,value,datetime_start,datetime_complete,duration,params_++algorithm.ent_coef,params_++algorithm.gae_lambda,params_++algorithm.gamma,params_++algorithm.learning_rate,system_attrs_fixed_params,state
17,91.30177,2024-03-04 16:31:32.406486,2024-03-04 21:16:25.185942,0 days 04:44:52.779456,0.00781813735892176,0.9899731126744316,0.9861628345177557,0.004862182150137409,"{'++algorithm.learning_rate': 0.004862182150137409, '++algorithm.gamma': 0.9861628345177557, '++algorithm.gae_lambda': 0.9899731126744316, '++algorithm.ent_coef': 0.00781813735892176, 'env': 'MetaEnv-gaussian-v0', 'algorithm': 'cleanppo', '+performance': 'Moonlander/meta-cleanppo-opti.yaml', 'wandb': 1, 'n_epochs': 100}",COMPLETE
18,86.09385,2024-03-04 16:31:32.492832,2024-03-04 21:16:25.195343,0 days 04:44:52.702511,0.041812857159168174,0.9893278626958945,0.9842437096134888,0.004959694660143306,,COMPLETE
19,88.14068999999999,2024-03-04 16:31:32.570231,2024-03-04 21:16:25.204804,0 days 04:44:52.634573,0.041812857159168174,0.9893278626958945,0.9842437096134888,0.004959694660143306,"{'++algorithm.learning_rate': 0.004959694660143306, '++algorithm.gamma': 0.9842437096134888, '++algorithm.gae_lambda': 0.9893278626958945, '++algorithm.ent_coef': 0.041812857159168174, 'env': 'MetaEnv-gaussian-v0', 'algorithm': 'cleanppo', '+performance': 'Moonlander/meta-cleanppo-opti.yaml', 'wandb': 1, 'n_epochs': 100}",COMPLETE
20,84.20534,2024-03-04 21:16:25.217813,2024-03-05 02:01:41.410491,0 days 04:45:16.192678,0.012342635226252535,0.9843719026503642,0.9790062468620716,0.00228499723992097,,COMPLETE
21,84.91646999999999,2024-03-04 21:16:25.295731,2024-03-05 02:01:41.432839,0 days 04:45:16.137108,0.012342635226252535,0.9843719026503642,0.9790062468620716,0.00228499723992097,"{'++algorithm.learning_rate': 0.00228499723992097, '++algorithm.gamma': 0.9790062468620716, '++algorithm.gae_lambda': 0.9843719026503642, '++algorithm.ent_coef': 0.012342635226252535, 'env': 'MetaEnv-gaussian-v0', 'algorithm': 'cleanppo', '+performance': 'Moonlander/meta-cleanppo-opti.yaml', 'wandb': 1, 'n_epochs': 100}",COMPLETE
22,80.46503000000001,2024-03-04 21:16:25.358688,2024-03-05 02:01:41.446083,0 days 04:45:16.087395,0.01265716030723803,0.9819725848455728,0.9793832902908813,0.002549685317083718,,COMPLETE
23,83.96633,2024-03-04 21:16:25.446739,2024-03-05 02:01:41.462571,0 days 04:45:16.015832,0.01265716030723803,0.9819725848455728,0.9793832902908813,0.002549685317083718,"{'++algorithm.learning_rate': 0.002549685317083718, '++algorithm.gamma': 0.9793832902908813, '++algorithm.gae_lambda': 0.9819725848455728, '++algorithm.ent_coef': 0.01265716030723803, 'env': 'MetaEnv-gaussian-v0', 'algorithm': 'cleanppo', '+performance': 'Moonlander/meta-cleanppo-opti.yaml', 'wandb': 1, 'n_epochs': 100}",COMPLETE
24,83.72757000000001,2024-03-04 21:16:25.506187,2024-03-05 02:01:41.474523,0 days 04:45:15.968336,0.012859079435012181,0.9844857138160841,0.9793863939769674,0.002334757066664151,,COMPLETE
25,83.81637,2024-03-04 21:16:25.597248,2024-03-05 02:01:41.484892,0 days 04:45:15.887644,0.012859079435012181,0.9844857138160841,0.9793863939769674,0.002334757066664151,"{'++algorithm.learning_rate': 0.002334757066664151, '++algorithm.gamma': 0.9793863939769674, '++algorithm.gae_lambda': 0.9844857138160841, '++algorithm.ent_coef': 0.012859079435012181, 'env': 'MetaEnv-gaussian-v0', 'algorithm': 'cleanppo', '+performance': 'Moonlander/meta-cleanppo-opti.yaml', 'wandb': 1, 'n_epochs': 100}",COMPLETE
26,81.48125,2024-03-04 21:16:25.667540,2024-03-05 02:01:41.493991,0 days 04:45:15.826451,0.013130548778476704,0.9842051101952737,0.9891418276383381,0.0025831391129735384,,COMPLETE
27,91.52434,2024-03-04 21:16:25.755857,2024-03-05 02:01:41.502982,0 days 04:45:15.747125,0.013130548778476704,0.9842051101952737,0.9891418276383381,0.0025831391129735384,"{'++algorithm.learning_rate': 0.0025831391129735384, '++algorithm.gamma': 0.9891418276383381, '++algorithm.gae_lambda': 0.9842051101952737, '++algorithm.ent_coef': 0.013130548778476704, 'env': 'MetaEnv-gaussian-v0', 'algorithm': 'cleanppo', '+performance': 'Moonlander/meta-cleanppo-opti.yaml', 'wandb': 1, 'n_epochs': 100}",COMPLETE
28,90.54509,2024-03-04 21:16:25.817161,2024-03-05 02:01:41.512861,0 days 04:45:15.695700,0.014383762339008342,0.982083545900742,0.9898515349786269,0.002314842291753071,,COMPLETE
29,83.95082,2024-03-04 21:16:25.919184,2024-03-05 02:01:41.522268,0 days 04:45:15.603084,0.014383762339008342,0.982083545900742,0.9898515349786269,0.002314842291753071,"{'++algorithm.learning_rate': 0.002314842291753071, '++algorithm.gamma': 0.9898515349786269, '++algorithm.gae_lambda': 0.982083545900742, '++algorithm.ent_coef': 0.014383762339008342, 'env': 'MetaEnv-gaussian-v0', 'algorithm': 'cleanppo', '+performance': 'Moonlander/meta-cleanppo-opti.yaml', 'wandb': 1, 'n_epochs': 100}",COMPLETE
30,89.56988000000001,2024-03-15 16:54:20.014815,2024-03-16 03:01:14.375903,0 days 10:06:54.361088,0.005935649537449835,0.9861903217282331,0.9881085232347548,0.001645607282510915,,COMPLETE
31,90.41271,2024-03-15 16:54:20.109764,2024-03-16 03:01:14.406199,0 days 10:06:54.296435,0.005935649537449835,0.9861903217282331,0.9881085232347548,0.001645607282510915,"{'++algorithm.learning_rate': 0.001645607282510915, '++algorithm.gamma': 0.9881085232347548, '++algorithm.gae_lambda': 0.9861903217282331, '++algorithm.ent_coef': 0.005935649537449835, 'env': 'MetaEnv-gaussian-v0', 'algorithm': 'cleanppofm', '+performance': 'Moonlander/meta-cleanppo-opti.yaml', 'wandb': 1, 'n_epochs': 100}",COMPLETE
32,91.57793000000001,2024-03-15 16:54:20.177840,2024-03-16 03:01:14.424372,0 days 10:06:54.246532,0.005887723643395755,0.9761852596724961,0.9871901465515256,0.0015951111305165405,,COMPLETE
33,90.65333,2024-03-15 16:54:20.260038,2024-03-16 03:01:14.436445,0 days 10:06:54.176407,0.005887723643395755,0.9761852596724961,0.9871901465515256,0.0015951111305165405,"{'++algorithm.learning_rate': 0.0015951111305165405, '++algorithm.gamma': 0.9871901465515256, '++algorithm.gae_lambda': 0.9761852596724961, '++algorithm.ent_coef': 0.005887723643395755, 'env': 'MetaEnv-gaussian-v0', 'algorithm': 'cleanppofm', '+performance': 'Moonlander/meta-cleanppo-opti.yaml', 'wandb': 1, 'n_epochs': 100}",COMPLETE
34,92.05463999999999,2024-03-15 16:54:20.305857,2024-03-16 03:01:14.446597,0 days 10:06:54.140740,0.005359919319396119,0.9871610109058666,0.9874041764008946,0.0015063584058213951,,COMPLETE
35,83.67605,2024-03-15 16:54:20.406397,2024-03-16 03:01:14.455816,0 days 10:06:54.049419,0.005359919319396119,0.9871610109058666,0.9874041764008946,0.0015063584058213951,"{'++algorithm.learning_rate': 0.0015063584058213951, '++algorithm.gamma': 0.9874041764008946, '++algorithm.gae_lambda': 0.9871610109058666, '++algorithm.ent_coef': 0.005359919319396119, 'env': 'MetaEnv-gaussian-v0', 'algorithm': 'cleanppofm', '+performance': 'Moonlander/meta-cleanppo-opti.yaml', 'wandb': 1, 'n_epochs': 100}",COMPLETE
36,84.5956,2024-03-15 16:54:20.456216,2024-03-16 03:01:14.465195,0 days 10:06:54.008979,0.005591970010590545,0.9871045479383628,0.9877325838739841,0.0015471265202750403,,COMPLETE
37,91.10587,2024-03-15 16:54:20.521329,2024-03-16 03:01:14.474204,0 days 10:06:53.952875,0.005591970010590545,0.9871045479383628,0.9877325838739841,0.0015471265202750403,"{'++algorithm.learning_rate': 0.0015471265202750403, '++algorithm.gamma': 0.9877325838739841, '++algorithm.gae_lambda': 0.9871045479383628, '++algorithm.ent_coef': 0.005591970010590545, 'env': 'MetaEnv-gaussian-v0', 'algorithm': 'cleanppofm', '+performance': 'Moonlander/meta-cleanppo-opti.yaml', 'wandb': 1, 'n_epochs': 100}",COMPLETE
38,90.81531999999999,2024-03-15 16:54:20.564700,2024-03-16 03:01:14.483143,0 days 10:06:53.918443,0.0057553589346902275,0.9863277692662913,0.9872925448622297,0.0015815670795623247,,COMPLETE
39,83.60598999999999,2024-03-15 16:54:20.634643,2024-03-16 03:01:14.491823,0 days 10:06:53.857180,0.0057553589346902275,0.9863277692662913,0.9872925448622297,0.0015815670795623247,"{'++algorithm.learning_rate': 0.0015815670795623247, '++algorithm.gamma': 0.9872925448622297, '++algorithm.gae_lambda': 0.9863277692662913, '++algorithm.ent_coef': 0.0057553589346902275, 'env': 'MetaEnv-gaussian-v0', 'algorithm': 'cleanppofm', '+performance': 'Moonlander/meta-cleanppo-opti.yaml', 'wandb': 1, 'n_epochs': 100}",COMPLETE
